Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness,Animal,Cityscape,Human,Indoor scene,Landscape,Night scene,Plant,Still-life,Others,Focal length,F-number,Exposure time,ISO,Brightness,Flash,Time0,Time1
00031.jpg,78.83,78.5,75.17,76.83,73.5,75.33,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.5,2.2,0.002888,50,0.0,0,-0.5,-0.866025
00032.jpg,70.86,62.86,74.57,71.43,65.43,63.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.95,1.6,0.000604,50,0.0,0,0.707107,-0.707107
00033.jpg,64.83,59.5,73.0,69.33,63.67,71.67,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,3.46,2.2,0.01,100,0.0,0,-0.5,-0.866025
00034.jpg,91.2,79.17,90.0,81.67,79.0,82.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.95,1.8,0.001313,50,7.25,0,-0.866025,-0.5
00035.jpg,38.17,62.17,68.17,66.17,51.5,27.17,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.66,2.2,0.005071,50,0.0,0,0.707107,-0.707107
00036.jpg,27.0,27.5,32.33,42.0,34.67,26.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.15,2.2,0.058824,125,1.034438,0,-0.965926,0.258819
00037.jpg,64.71,64.29,64.29,67.0,61.71,62.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.01,25,5.840841,0,-0.866025,-0.5
00038.jpg,8.0,24.0,18.67,10.5,18.17,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,2.2,0.0168,50,0.0,1,-0.707107,-0.707107
00039.jpg,63.0,59.57,66.29,65.71,62.43,65.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.83,1.8,0.03,200,0.0,0,-0.5,-0.866025
00040.jpg,25.17,35.0,34.67,32.5,32.0,17.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,1.8,0.083333,3200,-5.51,0,-1.0,0.0
00041.jpg,22.5,26.17,27.67,34.67,33.33,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.1,1.7,0.1,200,3.0,0,-0.866025,0.5
00042.jpg,50.29,44.14,47.29,47.86,49.29,49.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.2,0.003381,109,0.0,0,-0.5,-0.866025
00043.jpg,51.83,41.67,51.5,51.67,57.67,59.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,3.83,1.8,0.009238,50,0.0,0,-0.965926,-0.258819
00044.jpg,34.17,44.17,47.33,50.17,43.33,37.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,4.15,2.2,0.058824,32,3.360018,0,-0.866025,-0.5
00045.jpg,8.71,22.14,13.43,21.86,15.83,21.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,2.0,0.020003,51,0.0,0,-0.866025,-0.5
00046.jpg,16.67,28.5,28.5,21.83,30.67,11.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.95,1.6,0.03,400,0.0,0,-0.965926,0.258819
00047.jpg,22.57,51.29,38.57,41.43,35.86,7.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.5,2.0,0.02,50,0.0,0,-0.866025,-0.5
00048.jpg,22.43,53.86,56.43,56.0,43.86,11.71,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.36,2.2,0.00095,50,0.0,0,0.0,-1.0
00049.jpg,36.83,40.67,53.0,52.17,29.17,35.17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6,2.2,0.066667,3212,0.0,1,0.0,0.0
00050.jpg,58.83,57.17,61.5,58.33,52.33,57.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7,1.9,0.030303,160,0.0,0,-0.5,-0.866025
00051.jpg,11.67,26.17,34.0,25.5,29.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,2.2,0.033335,243,0.0,0,-0.707107,-0.707107
00052.jpg,75.83,72.33,74.5,73.83,75.5,75.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.2,0.005714,100,0.0,0,-0.5,-0.866025
00053.jpg,71.0,64.83,68.17,84.6,74.67,76.67,0.0,0.333333,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,3.82,1.8,0.001835,100,5.87,0,-0.866025,-0.5
00054.jpg,19.33,47.67,41.67,46.5,31.0,14.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.02,55,0.0,0,-0.707107,-0.707107
00055.jpg,14.0,45.17,38.83,43.33,31.17,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,2.2,0.019998,64,0.0,0,-0.707107,-0.707107
00056.jpg,67.0,62.89,68.44,66.67,61.44,63.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,2.2,0.04,500,0.0,0,0.707107,-0.707107
00057.jpg,65.56,63.11,71.67,70.33,60.89,61.22,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.333333,0.0,3.46,2.2,0.04,200,0.0,0,-0.866025,-0.5
00058.jpg,45.7,46.0,51.6,49.3,51.2,47.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.79,2.0,0.069999,1919,0.0,0,-0.707107,0.707107
00059.jpg,32.6,65.78,67.33,65.44,49.8,32.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.36,2.2,0.02,50,0.0,0,0.5,-0.866025
00060.jpg,16.13,51.78,52.56,44.33,39.33,26.56,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,4.3,1.9,0.04,400,-0.73,0,0.707107,-0.707107
00061.jpg,78.0,76.33,76.67,70.67,70.56,71.78,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.15,2.2,0.000572,25,11.157224,0,-0.5,-0.866025
00062.jpg,32.5,53.22,61.89,55.44,49.89,32.22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.2,0.009055,113,0.0,0,-0.965926,-0.258819
00063.jpg,37.6,38.6,58.3,51.2,52.5,24.44,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,3.66,2.2,0.03003,139,0.0,0,-1.0,0.0
00064.jpg,31.33,51.44,56.56,47.11,39.11,18.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.1,1.7,0.02,33,3.0,0,-0.707107,-0.707107
00065.jpg,32.78,51.78,49.22,50.78,38.22,26.22,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.66,2.2,0.000975,50,0.0,0,-0.258819,-0.965926
00066.jpg,67.63,68.25,68.63,68.88,65.63,67.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.058824,80,2.086098,0,-0.707107,-0.707107
00067.jpg,67.86,72.86,68.0,66.43,67.86,68.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.5,2.2,0.01,100,0.0,0,-0.258819,-0.965926
00068.jpg,18.63,35.38,39.5,35.88,27.5,13.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.82,1.8,0.083333,6400,0.0,0,-0.866025,0.5
00069.jpg,66.88,60.5,66.38,66.88,72.25,65.25,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,3.5,2.2,0.00278,109,0.0,0,-0.866025,-0.5
00070.jpg,56.0,58.14,61.0,62.14,58.43,54.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.000892,50,0.0,0,-0.707107,-0.707107
00071.jpg,46.22,48.11,63.5,50.63,53.11,38.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.2,0.0048,50,0.0,0,0.5,-0.866025
00072.jpg,21.88,40.56,51.5,29.38,37.44,13.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3,1.9,0.0005,125,7.45,0,0.5,-0.866025
00073.jpg,34.4,42.6,53.22,41.33,47.11,43.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.7,0.01,34,0.0,0,-0.5,-0.866025
00074.jpg,38.43,49.5,54.14,49.57,51.86,25.38,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.2,1.7,0.01,100,3.28,0,-0.707107,-0.707107
00075.jpg,39.88,67.14,64.0,48.57,50.5,33.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.79,2.0,0.008383,50,0.0,0,-0.866025,-0.5
00076.jpg,28.38,57.38,63.43,53.14,44.75,24.38,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.79,2.0,0.000881,50,0.0,0,-0.5,-0.866025
00077.jpg,49.88,43.0,64.29,50.14,61.75,50.63,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.333333,3.5,2.0,0.059996,42,0.0,0,-0.965926,0.258819
00078.jpg,67.14,66.43,70.0,72.0,68.13,66.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1.7,0.000853,50,7.56,0,0.866025,-0.5
00079.jpg,26.63,48.25,59.71,47.29,39.88,17.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.000962,25,9.643136,0,-0.258819,-0.965926
00080.jpg,41.88,58.14,64.14,48.29,46.88,34.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,2.96,2.0,0.008333,72,0.0,0,-0.866025,-0.5
00081.jpg,7.43,37.5,39.0,18.83,33.88,4.38,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.26,2.0,0.009259,50,0.0,1,-0.866025,-0.5
00082.jpg,73.38,61.5,76.29,79.86,68.5,77.71,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,3.95,1.6,0.0004,3200,0.0,0,-0.258819,-0.965926
00083.jpg,61.71,69.0,75.83,67.83,63.71,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,2.2,0.04,400,0.0,0,-0.707107,-0.707107
00084.jpg,46.71,50.63,62.0,51.57,52.25,46.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.004014,50,0.0,0,0.258819,-0.965926
00085.jpg,16.57,29.0,35.67,35.67,39.0,8.14,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.82,1.8,0.000412,125,0.0,0,-0.5,-0.866025
00086.jpg,32.86,29.86,42.5,40.67,36.29,22.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.79,2.0,0.069999,2678,0.0,0,-0.866025,0.5
00087.jpg,56.57,61.17,63.17,51.67,51.43,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5,2.0,0.020003,45,0.0,0,-1.0,0.0
00088.jpg,75.86,74.14,78.17,79.33,67.71,83.83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.058824,80,2.010233,0,-0.5,-0.866025
00089.jpg,73.88,65.75,73.29,63.71,73.57,69.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.15,2.2,0.058824,125,1.137859,0,-0.5,-0.866025
00090.jpg,54.71,54.14,75.33,68.67,61.0,60.71,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,2.2,0.01,100,0.0,0,-0.866025,-0.5
00091.jpg,78.86,79.71,79.0,83.17,78.43,78.57,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.95,2.2,0.001228,50,0.0,0,-0.5,-0.866025
00092.jpg,49.86,54.43,59.33,56.33,53.14,43.71,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,3.83,2.2,0.008338,165,0.0,0,-0.707107,-0.707107
00093.jpg,34.29,62.29,65.5,59.33,58.14,30.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.02,32,5.215936,0,-0.707107,-0.707107
00094.jpg,34.0,49.86,57.17,48.33,63.33,20.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.66,2.2,0.02,64,3.0,0,-0.965926,-0.258819
00095.jpg,47.86,54.14,67.0,53.0,55.0,45.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.83,1.8,0.06,2000,0.0,0,-0.866025,0.5
00096.jpg,34.9,40.2,54.33,51.0,50.22,30.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,2.2,0.050005,1000,0.0,0,-1.0,0.0
00097.jpg,58.38,58.75,67.86,59.43,67.0,57.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.2,0.000766,50,0.0,0,0.5,-0.866025
00098.jpg,49.14,58.29,68.5,60.17,61.14,45.86,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.83,2.2,0.008338,175,0.0,0,-0.5,-0.866025
00099.jpg,41.14,54.0,64.33,58.67,54.29,29.71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.82,1.8,0.030303,320,0.0,0,-0.866025,0.5
00100.jpg,50.63,44.38,61.57,55.57,62.25,47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,2.0,0.083333,1093,0.0,0,-0.866025,0.5
00101.jpg,16.0,27.86,29.83,29.5,33.43,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,2.0,0.083333,9746,0.0,0,0.707107,0.707107
00102.jpg,35.29,31.86,43.83,39.5,36.0,25.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.15,2.2,0.25,125,-1.846403,0,-0.965926,0.258819
00103.jpg,42.5,27.75,51.0,51.0,49.38,35.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.225,2.0,0.000564,100,0.0,0,-0.5,-0.866025
00104.jpg,58.88,60.88,64.29,62.0,65.5,65.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,2.2,0.000618,100,0.0,0,0.5,-0.866025
00105.jpg,47.88,49.25,59.57,56.71,55.14,55.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.93,2.2,0.04,873,0.0,0,-0.707107,-0.707107
00106.jpg,68.86,75.14,71.67,76.33,70.71,61.29,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.95,2.2,0.002786,50,0.0,0,0.0,-1.0
00107.jpg,38.88,51.13,55.29,52.0,32.75,26.88,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.02,60,0.0,0,-0.5,-0.866025
00108.jpg,64.0,68.78,63.5,59.88,65.22,64.78,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.99,1.8,0.000313,20,11.268524,0,-0.707107,-0.707107
00109.jpg,60.13,59.5,69.38,61.25,46.11,54.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,2.2,0.000747,50,0.0,0,0.5,-0.866025
00110.jpg,37.14,57.33,57.5,54.17,37.29,43.86,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.5,2.2,0.005663,160,0.0,0,-0.866025,-0.5
00111.jpg,43.57,51.71,57.5,48.17,44.71,35.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,2.2,0.04,400,0.0,0,-0.965926,0.258819
00112.jpg,27.88,56.13,47.14,60.57,44.0,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.26,2.0,0.009259,50,3.0,0,0.258819,-0.965926
00113.jpg,20.5,51.38,41.71,46.0,34.63,14.88,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,3.95,1.6,0.005,50,0.0,0,-0.866025,-0.5
00114.jpg,14.57,47.43,41.83,40.5,26.29,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,2.0,0.07,400,0.0,0,-1.0,0.0
00115.jpg,78.14,68.86,80.0,79.67,77.0,81.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,2.2,0.008338,116,0.0,0,-0.707107,-0.707107
00116.jpg,54.63,60.88,66.43,61.86,72.29,58.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.01,40,5.649579,0,-0.866025,-0.5
00117.jpg,75.43,72.14,75.83,72.83,79.71,73.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.36,2.2,0.00445,50,0.0,0,-0.965926,-0.258819
00118.jpg,39.86,26.86,48.67,34.33,58.29,48.43,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,4.36,1.8,0.001709,50,0.0,0,0.5,0.866025
00119.jpg,53.63,57.13,68.57,56.86,63.25,49.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.030303,32,3.965311,0,-0.258819,-0.965926
00120.jpg,51.29,46.29,58.0,43.83,58.86,48.71,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.66,2.2,0.03003,610,0.0,0,-1.0,0.0
00121.jpg,64.57,63.43,77.17,67.67,80.67,65.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,2.2,0.04,500,-0.77,0,0.258819,-0.965926
00122.jpg,38.57,46.14,62.17,46.0,54.29,44.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6,2.2,0.0011,50,0.0,0,-0.707107,-0.707107
00123.jpg,26.57,53.71,53.67,47.33,49.43,17.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.95,1.6,0.01,64,0.0,0,0.258819,-0.965926
00124.jpg,67.14,38.25,69.0,59.29,65.38,68.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.83,2.2,0.006864,100,0.0,0,-0.866025,-0.5
00125.jpg,43.0,53.43,59.67,58.5,64.33,38.43,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.7,2.2,0.005121,110,0.0,0,0.707107,-0.707107
00126.jpg,82.14,78.5,82.86,78.14,75.86,77.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,2.2,0.001935,50,0.0,0,-0.707107,-0.707107
00127.jpg,77.38,75.0,76.57,70.43,75.0,70.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.83,2.2,0.033333,190,0.0,0,-0.707107,-0.707107
00128.jpg,74.0,73.71,71.83,76.33,77.0,69.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.225,2.0,0.000595,100,0.0,0,-0.5,-0.866025
00129.jpg,44.0,42.57,57.17,48.33,65.0,33.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.95,1.6,0.004138,50,0.0,0,-0.965926,0.258819
00130.jpg,12.83,52.0,42.67,40.67,41.29,12.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8,2.2,0.02,40,4.14,0,-0.258819,-0.965926
00131.jpg,42.44,46.22,58.13,52.88,48.33,33.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.15,2.2,0.25,200,-2.902478,0,-0.866025,0.5
00132.jpg,56.89,55.22,69.0,59.38,60.56,57.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.00049,800,0.0,0,0.707107,-0.707107
00133.jpg,71.89,65.22,76.38,70.25,73.78,68.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7,2.2,0.002061,116,0.0,0,-0.707107,-0.707107
00134.jpg,53.0,69.27,68.4,65.8,57.91,39.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.2,0.030303,25,5.144467,0,-0.866025,-0.5
00135.jpg,77.56,79.67,83.75,82.0,74.56,77.56,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,2.2,0.04,320,0.0,0,-0.965926,-0.258819
00136.jpg,21.75,70.75,65.75,49.75,38.44,11.22,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.0,3.5,2.0,0.02,50,0.0,0,0.5,-0.866025
00137.jpg,52.7,51.2,52.67,49.89,56.9,49.6,0.0,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.0,3.99,1.8,0.04,32,2.91764,0,-0.965926,0.258819
00138.jpg,20.0,22.0,28.67,28.33,53.2,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.93,2.2,0.001344,100,0.0,1,-0.258819,-0.965926
